Comment,Designator,Footprint,LCSC Part #
Diode,D1 D2,SOD106A,C559325
MAX3485CSA,U1,SO08,C2687394
0.1uF,C1 C3 C6 C7 C8 C9,0603-CAP,C14663
1K,R10 R13,0603-RES,C21190
1uF,C5 C10,0603-CAP,C15849
10K,R1 R3 R8 R9 R14,0603-RES,C25804
10uF,C13,EIA3216,C7171
16MHz,Q1,3.2X2.5_KX-7,C13738
20K,R5 R6 R7,0603-RES,C4184
22,R11 R12,0603-RES,C23345
22pF,C2 C4,0603-CAP,C1653
32U4,ATMEGA,QFN-44-NOPAD_1:1,C45874
120,R15,0603-RES,C22787
330,R2 R4,0603-RES,C23138
500mA,F1,1206,C70076
Green,LED6,LED-0603,C72043
Red,LED1,LED-0603,C2286
TS1187A,RESET,TACTILE_SWITCH_SMD_5.2MM,C318884
